id,sentence1,sentence2,label
280,@hoora_110 @AfsharMahnaz ولی من پیشنهاد بهتری برای تو ورایفی پور دارم بسم الله  واکسن کرونا رو باید روی مسئولین آزمایش کرد :  1- اگر زنده ماندند، واکسن ایمن است .  2- اگر مردند ، کشور ایمن است  😂😂😂,اصن واکسن کرونا رو باید رو هیئت دولت آزمایش کرد اگه زنده موندن واکسن ایمن است اگه مُردن کشوره ایمن میشه .. 😊😊,paraphrase
281,سید محمد غرضی با حضور در ستاد انتخابات کشور برای نمایندگی پنجمین دوره مجلس خبرگان رهبری و دهمین دوره مجلس شورای اسلامی به طور همزمان نام نویسی کرد.,به گزارش ایرنا مستقر در ستاد انتخابات کشور، غرضی از حوزه انتخابیه تهران برای انتخابات مجلس خبرگان رهبری و مجلس شورای اسلامی ثبت نام کرد.,paraphrase
282,وضعیت تولید واکسن کرونا یک جوری شده که فکر کنم ترامپ خودش شخصا سرنگ برداره یک چیزی به عنوان واکسن کرونا به تک تک مردم آمریکا تزریق کنه تا رای جمع کنه 😄,ترامپ با فریاد سر دادن ساخت داروی کرونا می‌خواهد در بین مردم جهان محبوب بشود غافل از اینکه منفور ترین شخص در جهان است #تحریف_دشمنی,nonparaphrase
283,@mojdehk1 @Mehdi_Mojmeli بله اوایل کرونا تو همین توییتر ارزشی ها و انقلابی ها چه پایکوبی که میکردن از فلاکت مردم امریکا. میگفتن چون مردم امریکا مالیات میدن به دولت امریکا،  پس برن به درک.  پس اگه ترامپ هم منطق ارزشی ها رو داشته باشه الان میگه مردم ایران مالیات میدن به دولت پس برین به درک,@HananyaPersian با وجودیکه منم دوست دارم ترامپ رای بیاره ولی گویا شانسش خیلی کمه. ضعیف عمل کردنش در مقابل ویروس کرونا و اعتراضات سیاهپوستان آمریکا و‌حمایتش از قشر سرمایه دار به جای قشر ضعیف در این دوره بد اقتصادی شانسش رو پایین آورده.,nonparaphrase
284,تولید نازکترین لنز جهان,نازکترین لنز جهان ساخته شد,paraphrase
285,@miniyona مردم لبنان از خداشونه که برن دوباره مستعمره فرانسه بشن، تنها عده کمی از اقلیت ها و حزب الله میخوان مستقل باشن، با توجه به شرایطی که اسراییل داره و تهدید های حزب الله نه امریکا نه اسراییل نمیتونن حزب الله رو بزنن،چون جواب میده، داعش هم که کار به جایی نبرد پس حالا یه مترسک دیگه ...,@ashkaniRAN2 @ManotoNews سایبری دوزاری😁  داعش سنی در مقابل داعش شیعی که شما باشید اصلا عددی نبود. درس پس میداد و مورد حمایت حکومت آخوندی بود. آخرم توسط نیروهای آمریکایی و ائتلاف و کردهای عراق و سوریه و ارتش عراق نابود شد. حزب الله و بشار اسد و قاسم کتلت اون موقع داشتن به کودکان سوری حمله شیمیایی میکردن,nonparaphrase
286,شاید بسیاری تحت تاثیر اخبار رسانه‌ها فکر می‌کنند کرونای چینی، آنچنان اقتصاد آمریکا را نابود کرده است که ترامپ بازنده‌ی انتخابات ماه نوامبر است. آیا براستی چنین است؟ باید به اطلاع شما برسانم در همین دوران کرونا سهام شرکت اپل چهار روز پیش از مرز ۲ تریلیون دلار گذشت و تاریخ‌ساز شد! https://t.co/6IwceKnhxO,@Jony7744 @melliiun این اعتراضات تقریبا عقب ماندگی ترامپ تو نظرسنجی ها به خاطر کرونا رو داره جبران می‌کنه.تو ویسکانسین و میشیگان برای اولین بار ترامپ جلو افتاده تو یکی از نظرسنجی ها.مینه سوتا هم که قبلاً یه ایالت سیف برای دموکرات ها بود الان کاملا پنجاه پنجاه شده,nonparaphrase
287,@Barbaro1115 نمیخواهم زیاد بحث کنم. ولی کی مثل ایشون تو این کشور با تجربه نیست. بایدن و ترامپ هم در این سن ها هستن. فقط یه خواهش دارم در مورد رهبری یکم بخونی بیشتر ایشونو میشناسی . همچنان که در قضیه کرونا گفت من چیزی نمیدونم هرچی ستاد کرونا بگه. یعنی چیزی ندونم نظر نمیدم.ولی روحانی این شکلی ن,امارات همکاری و مشارکت و رفت و آمد داشته از قبل هم در مورد کرونا عادی سازی از قبل بوده است  اما اینکه رسانه ای شد یکی از دلایلش این است که آقای ترامپ نیاز به دستآورد خارجی دارد چون خودش، هیچ دست‌آوردی ندارد، از کرونا و بیکاری و گرانی و خارج شدن از برجام کلا هیچ!  #نصر_من_الله,nonparaphrase
288,@SamadAgha5791 این جو بایدن چرا دری وری تفت میکنه که ترامپ در کرونا شکست خورده ؟ چی میگه مرتیکه خرفت؟,@psithurrism_ ترامپ میگه این چیزایی که سازمان بهداشت جهانی درباره کرونا بافته خزعبله :)) چون اونجا هرچی بگن و تصمیم کل دنیا میگن چشم میبینی که,nonparaphrase
289,صلاحیت ۱۶۶ نفر از داوطلبان انتخابات خبرگان رهبری مورد تائید شورای نگهبان قرار گرفت.,تائید صلاحیت 166 نفر در انتخابات خبرگان رهبری,paraphrase
290,تیتر اول روزنامه های صبح ایران ، با استعفای ترامپ و برکناری دولت دیکتاتور آمریکا ، مردم آن کشور همگی به آغوش اسلام شتافتند. و کرونا هم ریشه کن شد . و در #لبنان هیچ خبری نیست. ⁦🤦🏽‍♂️⁩,@Nima_4567 @Telefonist_ @thegoldmarlboro تو همین کلیپی که گذاشتی واضحه ترامپ داره میگه که مواد ضد عفونی کننده خیلی سریع ویروس کرونا رو روی پوست نابود می‌کنند و  ایده خوبیه که یه همچین چیزی رو بشه توسط یه تزریق داخل بدن هم انجام داد. هیچوقت نگفت خود ضدعفونی کننده رو تزریق کنید.,nonparaphrase
291,@mojdehk1 @Mehdi_Mojmeli بله اوایل کرونا تو همین توییتر ارزشی ها و انقلابی ها چه پایکوبی که میکردن از فلاکت مردم امریکا. میگفتن چون مردم امریکا مالیات میدن به دولت امریکا،  پس برن به درک.  پس اگه ترامپ هم منطق ارزشی ها رو داشته باشه الان میگه مردم ایران مالیات میدن به دولت پس برین به درک,@HananyaPersian ترامپ..امریکایی ها ترامپ رو دوست دارند اگر چین ویروس کرونا رو نمیساخت و در دنیا پخش نمیکرد ترامپ تا بحال به همه وعده های انتخاباتیش دست یافته بود بایدن فقط پشتیبانی مهاجران غیر اروپایی و بخشی از سیاهپوستها رو داره,nonparaphrase
292,تایید آزمایش بالینی یک واکسن جدید کرونا در چین https://t.co/EglEjTDwKf,نتایج تشویق کننده برای داوطلبان آزمایشات واکسن کرونا در امارات @UEpersian https://t.co/hyzLFA39Ii,nonparaphrase
293,یه تحقیق کنید لبنان حرم نداره؟؟  دوروز دیگه یمشت عرزشی رو خر میکنن میفرسن لبنان در مقابل مردم معترض از حزب الله دفاع کنن و بهشون میگن اگه الان نرید با دژمن تو لبنان بجنگید داعش از لبنان میاد تو ایران مارو میخوره 😂 #اعتصابات_سراسری  #حزب_الله_الارهابي,@amirafshar135 به کسی نمیگم که ترسیدی...  اما ترسیدی!!!  من اندازه شماها بصیرت ندارم. اما مثل اینکه یادتون رفته داعش فقط پنج کیلومتر با کاخ بشار فاصله داشت یا مثلا طوفان شن طبس یا مثلا جنگ 33 روزه که اونموقع حزب الله فقط 2000 تا نیرو داشت نه 20000 مثل الان.  این فتنه ها تموم میشه,nonparaphrase
294,@SRezaii @MousaviSa سیاست خارجی تاثیر چندانی در انتخابات آمریکا نداره. اونم در قبال کشوری مثل ایران! رای دهنده آمریکایی اصلا ایران براش مهم نیست. کشوری مثل چین و روابطش با آمریکا روی زندگی آمریکایی ها تاثیر داره ولی ایران هیچ تاثیری تو زندگیشون نداره. ترامپ هم بیشترین ضربه رو از کرونا خواهد خورد,@Mirror53048604 عباس موسوی سخنگوی وزارت امور خارجه جمهوری اسلامی می گوید: "به آقای ترامپ توصیه می‌کنیم در شرایط کنونی شیوع بیماری کرونا در منطقه و جهان بهتر است ناوگان نظامی خود را برای کمک به مهار و مدیریت این بیماری در داخل آمریکا به کار گیرد." 3,nonparaphrase
295,🔻 دیلی میل: ترامپ ادعا کرد در عرض 4 هفته آینده آمریکا واکسن ضد کرونا را در اختیار خواهد داشت.(ترجمه رسانه تیک آف)  🔹رئیس جمهور آمریکا با برنامه «فاکس اند فرندز» گفت ظرف چند هفته واکسن را خواهیم داشت، ممکن است 4 هفته باید یا 8 هفته اما به هر حال قصد زدن آن را {به مردم} داریم. https://t.co/KYXihrC4yP,@shahriyar_rs شایدم‌ اشتباه نرفتی!! این روزا تو ایران ادما به سرعت نور رنگ‌ عوض میکنن! امروز تو کرونا میرن مراسم فردا عکس از چه‌گوارا میذارن پس فردا ترامپ رو ستایش میکنن و احتمالا اگه دستشون میرسید به جو بایدن رای میدادن,nonparaphrase
296,مقامات آمریکایی: سخنرانی روحانی در سازمان ملل «شاهکارِ دروغ‌پردازی» بود  سفیر دایم ایالات متحده در سازمان ملل متحد در واکنش به سخنرانی حسن روحانی در سازمان ملل، اظهارات حسن روحانی را «شاهکار دروغ‌پردازی» خواند و ... #روباه_بنفش #گزارش_سیاسی #UN75 https://t.co/pBpOonCCx0,@Tara_O_Hara @c5GbNjtYsfYcHMr حرف خنده داری زدی . الان هم روحانی میخواد از خودش تعریف کنه بگه من آدم حسابی ام ، پس باید خودشو به یک شخصیت درست و حسابی بچسبونه دیگه. نمیتونه بگه من شبیه صدام یا هیتلر هستم. میخواد واسه خودش اعتبار بخره، همونطور که تو سازمان ملل برای خریدن اعتبار گفت ما وارثان کوروشیم.,nonparaphrase
297,@saiuron ترامپ تلاش کرد گندی که کارتر و اوباما و دموکرات ها خاورمیانه زدن جبران کنه تا حدودی به هدفش رسیده برنامش این بود در چهار ساله دوم ریاست جمهوریش کار حزب الله و ج.ا تموم کنه که متأسفانه چین با ویروس کرونا و همدستی دموکرات ها ممکنه مردم آمریکا فریب بده تا به ترامپ رای ندن 😐,به ترامپ گفت پیرمرد بعد خودش از اول کرونا رفته توو قرنطینه  دم خروس یا قسم حضرت عباس؟,nonparaphrase
298,دقت کنید این اعتراضات مردم لبنان قبل از کرونا هم بود ولی بخاطر ویروس چینی ناتمام ماند! همچنین تظاهرات های مردم هنگ کنگ، عراق،ایران و ونزوئلا. حالا فکر کنید این زنجیره دوباره به حرکت در بیاد و منافع چپ جهانی و دموکرات ها متزلزل بشه، بایدن چگونه در مناظرات با ترامپ حاضر خواهد شد؟,بومرنگ برگشت و خورد تو صورت خودشون. تا دیروز Summer of Love و اینا بود و حالا شد خشونت. اینا برای تصاحب قدرت با جان مردم بازی میکنن. وسط کرونا تشویق میکنن تو دسته‌های چند هزار نفری بریزن بیرون اعتراض! آتش زدن و غارت و کشته و زخمی شدن شد نتیجه‌ش. حالا اینم انداختن تقصیر ترامپ https://t.co/WUeW7MDYLq,nonparaphrase
299,ترامپ نمیگه ویروس کوید۱۹ و کرونا و از این کوفت و زهرمار ها. میگه ویروس چینی #ویروس_چینی,برادر ترامپ بر اثر ابتلا به ویروس کرونا درگذشت.   «رابرت ترامپ» برادر کوچک‌ تر «دونالد ترامپ» رئیس‌ جمهوری آمریکا که به دلیل بیماری کرونا در بیمارستان بستری بود، درگذشت. https://t.co/82mGBfowN6,nonparaphrase
300,باراک اوباما رییس جمهوری آمریکا در گفت و گوی تلفنی با رجب طیب اردوغان همتای ترک خود از او خواست نیروهای ترکیه ای را از شمال عراق خارج کند.,رئیس جمهوری آمریکا روز جمعه در تماس تلفنی با رجب طیب اردوغان، از وی خواست نیروهای ارتش ترکیه را از خاک عراق خارج کند.,paraphrase
301,عکس یادگاری ابوعزرائیل با سردار سلیمانی,سلفی ابوعزرائیل با سردار سلیمانی + عکس,paraphrase
302,دقت کنید این اعتراضات مردم لبنان قبل از کرونا هم بود ولی بخاطر ویروس چینی ناتمام ماند! همچنین تظاهرات های مردم هنگ کنگ، عراق،ایران و ونزوئلا. حالا فکر کنید این زنجیره دوباره به حرکت در بیاد و منافع چپ جهانی و دموکرات ها متزلزل بشه، بایدن چگونه در مناظرات با ترامپ حاضر خواهد شد؟,کاستی‌ها و تعلل در امر مقابله با شیوع کرونا از سوی دولت ترامپ می‌تواند تاثیری تعیین‌کننده بر انتخابات آمریکا داشته باشد. ترامپ به آن امید بسته است که پیش از انتخابات واکسن مقابله با کرونا در بازار در دسترس قرار گیرد. https://t.co/jlI41gvfce,nonparaphrase
303,پوتین به یهودیان ناراضی اروپا: به روسیه بیایید,پوتین یهودیان اروپا را به روسیه دعوت کرد,paraphrase
304,خب دوستان روسیه واکسن کرونا رو ساخت  و قرار اول رو ماها تست بشه تا اگه زنده موندیم، بفرستن برای کشورای دیگه🖐 https://t.co/3bEKtkp3Hb,مثل اینکه روسیه واکسن کرونا رو درست کرده و پوتین هم رو دخترش امتحان کرده 😍 https://t.co/FtZCvc80yg,nonparaphrase
305,@bbcpersian ما اهل کوفه نیستیم علی تنها بماند. نیازی به توضیح نیست علت این رفتارهای عاقلانه امام خامنه ای و احمقانه امثال ترامپ که هنوز نفهمیده کرونا چیه و با چی باید جلوش را گرفت.شما فعلا برید موادضدعفونی کننده تان را بخورید.,یه رالی موتورسواری در داکوتای جنوبی قراره برگزارشه که ۲۵۰ هزارنفر از همه‌ی آمریکا قراره دور هم جمع‌شن و با هرکدومشون مصاحبه می‌کنن حماقت و بلاهتیه که فواره می‌زنه و تمام چرندیات ترامپ در رابطه با کرونا رو تفت‌می‌دن!,nonparaphrase
306,نرخ رسمی انواع ارز در بانک مرکزی,بانک مرکزی نرخ بانکی ارزها را اعلام کرد,paraphrase
307,شاید بسیاری تحت تاثیر اخبار رسانه‌ها فکر می‌کنند کرونای چینی، آنچنان اقتصاد آمریکا را نابود کرده است که ترامپ بازنده‌ی انتخابات ماه نوامبر است. آیا براستی چنین است؟ باید به اطلاع شما برسانم در همین دوران کرونا سهام شرکت اپل چهار روز پیش از مرز ۲ تریلیون دلار گذشت و تاریخ‌ساز شد! https://t.co/6IwceKnhxO,@Johnsnow651 ترامپ در سیاست گذاری تبعیض نژادی در آمریکا ناموفق بود در کنترل کرونا و بازار اقتصادی آمریکا ناموفق عمل کرد در بخش کارگری وخدمات درمانی و بیمه و مالیات در آمریکا ناموفق عمل کرد علاوه بر دوسال اول انتخاباتی که خوب عمل کرد خیلی از ایالت ها بخاطر سیاست اشتباه بین المللی و دیپلماتیک..,nonparaphrase
308,پرزیدنت ترامپ به هر کسی که بخاطر #ویروس_عرفانی_کرونا،بیکار شود،ماهی ۴۰ میلیون تومان خواهد داد. پرزیدنت ترامپ برای حمایت مالی از آمریکایی‌ها 4 فرمان اجرایی صادر کرد پرزیدنت ترامپ چهار فرمان اجرایی به منظور ارائه حمایت مالی از آمریکاییان در برابر آسیب‌های شیوع ویروس کرونا امضا کرد.,کنترل این کرونا هم دردسرساز شده واس ما. ترامپ و ویروس کرونا یهویی... https://t.co/zsphZ4wZBp,nonparaphrase
309,بایدن به ترامپ میگه گفتی وایتکس بخورین واسه کرونا میگه مزاح بود😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,@AlinejadMasih این زنکه ولگرد دلقک ترامپ دروغ گوی بزرگی است. ایران ایلامی یعنی همدلی در زمان مشکلات. مثل کرونا https://t.co/8wGlhcgnDe,nonparaphrase
310,شاید بسیاری تحت تاثیر اخبار رسانه‌ها فکر می‌کنند کرونای چینی، آنچنان اقتصاد آمریکا را نابود کرده است که ترامپ بازنده‌ی انتخابات ماه نوامبر است. آیا براستی چنین است؟ باید به اطلاع شما برسانم در همین دوران کرونا سهام شرکت اپل چهار روز پیش از مرز ۲ تریلیون دلار گذشت و تاریخ‌ساز شد! https://t.co/6IwceKnhxO,@soo3_ محبوبیت ترامپ هم سر جریان کرونا کاهش یافته. اگرچه هنوز فرصت داره که ورق رو برگردونه,nonparaphrase
311,@SamanthaIrani @IamAtoosa بانوی عزیز،،، گفتید که ایده ی ساخت کرونا توسط روسیه بوده، از طرفی دریافتیم کرونا جهت کشیدن ترمز ترامپ و مقابله با اهدافی که دارد در مقابل کمونیسم ساخته شده، خب یعنی روسیه هم مخالف ترامپ هم موافق براندازی؟ آیا اخیرا معامله ای صورت گرفت؟,🔴برادر ترامپ بر اثر ابتلا به ویروس کرونا درگذشت.   «رابرت ترامپ» برادر کوچک‌ تر «دونالد ترامپ» رئیس‌ جمهوری آمریکا که به دلیل بیماری کرونا در بیمارستان بستری بود، درگذشت. کروناعه دیگه، با کسی شوخی نداره. https://t.co/Urz61HG4Rf,nonparaphrase
312,کیفرخواست عامل سگ آزاری صادر شد,کیفرخواست عامل آزار و اذیت سگ شکاری در گلستان صادر شد,paraphrase
313,پیروزی کلینتون در رقابت مقدماتی در کارولینای جنوبی,ترامپ انتخابات مقدماتی را در کارولینای جنوبی برد,paraphrase
314,کاش تو ایران در کنار تست کرونا یه تست مغزی هم از کسایی که تو ایران زندگی می‌کنن و از ترامپ شارلاتان طرفداری می‌کنن بگیرن.,@SRezaii @MousaviSa سفید پوستای به خصوص ایالت های جنوبی و مرکزی رو آورد پشت ترامپ، همین د  مورد مسلیم بن هم صادق هست. حتی در مورد پیمان های بین المللی و رابطه با چین و... هم بخش اعظمی از پایگاه رای ترامپ موافق این سیاست ها هستن. اصلا با همین شعارها رای آورد. ترامپ تا وقتی کرونا نیامده بود و...,nonparaphrase
315,@lieaEbony روحانی حتی اگه کرونا هم نگیره بخاطر وضع فعلی از فحش مردم و لنگه کفش یا سو قصد در امان نیست حسن روحانی مثل سگ (دور از جون سگ) از جانش می‌ترسه وگرنه کرونا بهانست  حتی ترامپ هم در آمریکا طرفدارانی داره ولی برای نخواستن حسن روحانی دعواست,کنترل این کرونا هم دردسرساز شده واس ما. ترامپ و ویروس کرونا یهویی... https://t.co/zsphZ4wZBp,nonparaphrase
316,ابوکمال اولین شهری که در سوریه به تصرف داعش درآمده بود، در عملیاتی تحت فرماندهی او آزاد شد. #برای_سرباز  🇵🇰ابو کمال شام میں داعش کے زیر قبضہ پہلا شہر تھا جو ایک آپریشن میں سردار سلیمانی کی زیر کمان آزاد ہوا تھا۔ #HERO,او کسی بود که با متلاشی کردن غده سرطانی  داعش نه فقط به کشورهای منطقه بلکه به همه ملت های جهان خدمت بزرگی کرد. #برای_سرباز  وہی تھا جس نے داعش کے مہلک کینسر کو بڑے پیمانے پر ختم کر کے نہ صرف خطے کے ممالک بلکہ دنیا کی تمام اقوام اور انسانیت کے لیے ایک عظیم خدمات انجام دیں۔  #HERO,nonparaphrase
317,سالمندان تخم بلدرچین بخورند,افراد مسن تخم بلدرچین بخورند,paraphrase
318,🔷پرزیدنت ترامپ چهار فرمان اجرایی به منظور ارائه حمایت مالی از آمریکاییان در برابر آسیب‌های شیوع ویروس کرونا امضا کرد. 2/2 https://t.co/wf0fkwDOfb https://t.co/jacFevq7Lc https://t.co/317oyHr6lH,@2mohammadmosaed چقدر سفید نمایی شد با این حکم. بحران ها هم حل شد. ذهن ها که خالی نیست با قهوه ای پر شده. شالوده ها هم ترمیم شد. فقط مانده کرونا که مسئولیت آنرا هم خودت اعتراف کنی حله. من شنیدم ترامپ هم بخاطر تو از برجام اومد بیرون,nonparaphrase
319,@DeanBrowningPA @TexanMcCann لیدر محترم  اپوزسیون میلیونی  ری استارت سید محمد حسینی است  ،ما هرگز  این خطای توییتر را فراموش نمیکنیم ،و مطمئن هستیم  که لیدر عزیزمان پیروز این میدان است  حق بر باطل پیروز است ، آقای ترامپ هم مثل لیدر ما  انسان دوست و مهربان است هرگز نمیتوانند شیوع و گسترش ویروس کرونا را  به,کاستی‌ها و تعلل در امر مقابله با شیوع کرونا از سوی دولت ترامپ می‌تواند تاثیری تعیین‌کننده بر انتخابات آمریکا داشته باشد. ترامپ به آن امید بسته است که پیش از انتخابات واکسن مقابله با کرونا در بازار در دسترس قرار گیرد. https://t.co/jlI41gvfce,nonparaphrase
320,@AlinejadMasih این زنکه ولگرد دلقک ترامپ دروغ گوی بزرگی است. ایران ایلامی یعنی همدلی در زمان مشکلات. مثل کرونا https://t.co/8wGlhcgnDe,@2mohammadmosaed چقدر سفید نمایی شد با این حکم. بحران ها هم حل شد. ذهن ها که خالی نیست با قهوه ای پر شده. شالوده ها هم ترمیم شد. فقط مانده کرونا که مسئولیت آنرا هم خودت اعتراف کنی حله. من شنیدم ترامپ هم بخاطر تو از برجام اومد بیرون,nonparaphrase
321,@HananyaPersian با وجودیکه منم دوست دارم ترامپ رای بیاره ولی گویا شانسش خیلی کمه. ضعیف عمل کردنش در مقابل ویروس کرونا و اعتراضات سیاهپوستان آمریکا و‌حمایتش از قشر سرمایه دار به جای قشر ضعیف در این دوره بد اقتصادی شانسش رو پایین آورده.,برای من همین که ترامپ در برابر این جنایتکار ایستاده که یک میلیون انسان را در اردوگاه‌ها زندانی کرده و یک میلیون انسان را از طریق پخش کرونا در جهان کُشته، کافی است تا طرفدارش باشم. ایرانی طرفدارِ بایدن، به ما بگو جو بایدن هشت سال معاون رئیس جمهور بود، دربرابر این جنایتکار چه کرد؟ https://t.co/WoYPbnXMAm,nonparaphrase
322,از همه دوستان تقاضا می‌کنم به کنفرانس حمایت از #ایران آزاد بپیوندند تا به روحانی شیاد بگوییم که سازمان ملل جای تو نیست .رژیم جنایتکار اخوندی باید تحریم تسلیحاتی بشود تا امنیت وصلح به جهان بر گردد #NoImpunity4Mullahs  #StopExecutionsInIran @USAdarFarsi @AlArabiya_Fa https://t.co/iZITxp7Rn4 https://t.co/V25jc68Exi,الیوت ابرامز، نماینده ویژه آمریکا در امور ایران، اعلام کرد همه تحریم‌های سازمان ملل علیه تهران شنبه ساعت ۸ شب به وقت واشینگتن بازمی‌گردند.  😐😐فهمیدید پیروزی روحانی چیه؟ 😂,nonparaphrase
323,فوقش یه سال دیرتر میرم آمریکا ولی خب راحت تر زندگی میکنم، ها؟ البته با این داستانای کرونا و سخت گیریای ترامپ و اوضاع قمر در عقرب کشور معلوم نیس همه چیمم اوکی بشه خودمو بتونم برسونم 1.5 سال دیگه اونجا. حالا بذار بشه 2.5 سال.,@euronews_pe احتمالا این نماینده پارلمان نروژ احمقی است هم افق با ترامپ!  ترامپ یک تروریست(ترور قاسم سلیمانی) است و باید محاکمه شود  ترامپ باید بابت سرکوب مردم امریکا،ایجاد تفرقه بین مردم امریکا،بی کفایتی اقتصادی،و بی کفایتی در بحران کرونا نیز باید محاکمه شود https://t.co/ELF7J8jDCs,nonparaphrase
324,از همه دوستان تقاضا می‌کنم به کنفرانس حمایت از #ایران آزاد بپیوندند تا به روحانی شیاد بگوییم که سازمان ملل جای تو نیست .رژیم جنایتکار اخوندی باید تحریم تسلیحاتی بشود تا امنیت وصلح به جهان بر گردد #NoImpunity4Mullahs  #StopExecutionsInIran @USAdarFarsi @AlArabiya_Fa https://t.co/iZITxp7Rn4 https://t.co/V25jc68Exi,سخنان روحانی در سازمان ملل به جهان درباره ایران و آنچه واقعیت است . https://t.co/mqcqvFX67I,nonparaphrase
325,واکسن کرونا رو بسازید ما میخوایم بریم خراب‌بازی,کاش واکسن کرونا رو داشته باشن 🤨,nonparaphrase
326,خبر خوشحال کننده که روحانی قولشو داده بود امشب عملی میشود . ۱. واریز یارانه  ۲. خنک شدن هوا  ۳. عقب کشیدن ساعت و ۱ ساعت خواب بیشتره  الی برکت الله و در اخر یه خبر کوچولو بی اهمیت تحریمای سازمان ملل اجرایی شد....,RT @HananyaPersian: سخنان روحانی در سازمان ملل به جهان درباره ایران و آنچه واقعیت است . https://t.co/mqcqvFX67I,nonparaphrase
327,@SamadAgha5791 این جو بایدن چرا دری وری تفت میکنه که ترامپ در کرونا شکست خورده ؟ چی میگه مرتیکه خرفت؟,بایدن چندوقت پیش به هواداران تیفوسی فوتبال(ورزش اول امریکا)در ایالت‌های میانی گفته بود:اگر ترامپ خرابکاری نکرده بود،الان ورزشگاه‌ها پر از تماشاگر بود.ترامپ هم ناراحت میشه زنگ میزنه به مدیر بیگ‌تن و میگه بدون توجه به کرونا باید بازی‌ها با حضور تماشاگر باشه.مدیر هم/۱,nonparaphrase
328,@HananyaPersian ترامپ..امریکایی ها ترامپ رو دوست دارند اگر چین ویروس کرونا رو نمیساخت و در دنیا پخش نمیکرد ترامپ تا بحال به همه وعده های انتخاباتیش دست یافته بود بایدن فقط پشتیبانی مهاجران غیر اروپایی و بخشی از سیاهپوستها رو داره,ترامپ با کلی تبلیغات و جوسازی اومد گفت سوپرایز دارم و ... سوپرایزش استفاده از پلاسمای خون بهبود یافتگان کرونا برای درمان این بیماریه! اینو که ما هفته اول ک کرونا اومد انجام دادیم مرتیکه مو زرد !,nonparaphrase
329,تیتر اول روزنامه های صبح ایران ، با استعفای ترامپ و برکناری دولت دیکتاتور آمریکا ، مردم آن کشور همگی به آغوش اسلام شتافتند. و کرونا هم ریشه کن شد . و در #لبنان هیچ خبری نیست. ⁦🤦🏽‍♂️⁩,خبر خوب امشب ترامپ : سازمان غذا و دارو مجوز استفاده از پلاسمای خون بهبود یافتگان از کرونا را داد. -آنتی‌بادی خون آنها یک ایمنی بسیار قدرتمند علیه ویروس چینی خواهد بود. -مرگ و میرها حداقل ۳۵٪ کاهش خواهد یافت. -واکسن هم به زودی آماده میشود و در حال پیشرفت در ساخت آن هستیم. https://t.co/p1E0XKXdz6,nonparaphrase
330,پرزیدنت ترامپ به هر کسی که بخاطر #ویروس_عرفانی_کرونا،بیکار شود،ماهی ۴۰ میلیون تومان خواهد داد. پرزیدنت ترامپ برای حمایت مالی از آمریکایی‌ها 4 فرمان اجرایی صادر کرد پرزیدنت ترامپ چهار فرمان اجرایی به منظور ارائه حمایت مالی از آمریکاییان در برابر آسیب‌های شیوع ویروس کرونا امضا کرد.,🔷پرزیدنت ترامپ چهار فرمان اجرایی به منظور ارائه حمایت مالی از آمریکاییان در برابر آسیب‌های شیوع ویروس کرونا امضا کرد. 2/2 https://t.co/wf0fkwDOfb https://t.co/jacFevq7Lc https://t.co/317oyHr6lH,nonparaphrase
331,@egon1359 ماچ بهت,@Zizibz1 ماچ به لپت😂😂😍,paraphrase
332,تو استوریای اینستا قراره تا یه ماه آینده واکسن کرونا بیرون بیاد,کنکورتونو بدید که سال دیگه سهمیه شهدای واکسن کرونا هم قراره بیاد,nonparaphrase
333,حملات ترامپ و بایدن کم کم دارد ۱۸+ می‌شود! ترامپ گفته بایدن باید قبل از مناظره تست مواد بدهد! ستاد بایدن گفته او در مناظره از «کلمات» استفاده می‌کند و اگر ترامپ «ادرار» می‌خواهد، همه‌اش برای خودش! همان‌طور که در برابر بحران کرونا صرفا ادرار کرد و ۲۰۰ هزار تلفات به جا گذاشت. https://t.co/RcAuYBibvW,برنامه تولید واکسن ویروس کرونا با سرعت بالا بودجه می‌خواهد. ترامپ یا بایدن که خودشان نمی‌روند در آزمایشگاه واکسن کشف کنند. بودجه تامین می‌کنند تا متخصصان و دانشمندان این کار را انجام دهند. طرح واکسیناسیون ۳۰۰ میلیون نفر را تا ژانویه ۲۰۲۱ درست و قابل دفاع بود‌ و رئیس جمهور ایالات,nonparaphrase
334,@63_afshin جدا از کرونا ، ترامپ بنظرم تو این چهار سال بد کار نکرد ، خود ظریف هم اعتراف کرده,کاش تو ایران در کنار تست کرونا یه تست مغزی هم از کسایی که تو ایران زندگی می‌کنن و از ترامپ شارلاتان طرفداری می‌کنن بگیرن.,nonparaphrase
335,@SRezaii @MousaviSa اوضاع اقتصادی رو خراب نکرده بود همچنان بخت اول انتخابات بود. خود مسئولین ایرانی هم اذعان کرده بودن که احتمالا ترامپ چهارسال دوم هم هست. کرونا نقطه قوت ترامپ یعنی اقتصاد رو تبدیل به نقطه ضعفش کرد. دلیل اینکه لاک داون رو هی شل و سفت میکنه هم دقیقا همین هست.,ترامپ با کلی تبلیغات و جوسازی اومد گفت سوپرایز دارم و ... سوپرایزش استفاده از پلاسمای خون بهبود یافتگان کرونا برای درمان این بیماریه! اینو که ما هفته اول ک کرونا اومد انجام دادیم مرتیکه مو زرد !,nonparaphrase
